service_id,date,exception_type,route_id,route_long_name,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,20200803,1,16515,Palmerston Gunn Bakewell Rosebery,0,0,0,0,0,0,1,20200629,20201129
1,20200803,1,16660,Palmerston Driver Moulden,0,0,0,0,0,0,1,20200629,20201129
1,20200803,1,16803,Palmerston Berrimah Karama Casuarina,0,0,0,0,0,0,1,20200629,20201129
1,20200803,1,17198,Palmerston Darwin Via Stuart Highway,0,0,0,0,0,0,1,20200629,20201129
1,20200803,1,18408,Casuarina  Darwin Via CDU & Nightcliff,0,0,0,0,0,0,1,20200629,20201129
1,20200803,1,19677,"Casuarina, Wanguri, Leanyer, Wulagi, Wagaman",0,0,0,0,0,0,1,20200629,20201129
1,20200803,1,19858,"Darwin Hospital Precinct, Tiwi, Nakara",0,0,0,0,0,0,1,20200629,20201129
1,20200803,1,20903,Palmerston Woodroffe Gray,0,0,0,0,0,0,1,20200629,20201129
1,20200803,1,25575,Palmerston Kokoda Industries ,0,0,0,0,0,0,1,20200629,20201129
1,20200803,1,25800,Palmerston Durack Heights,0,0,0,0,0,0,1,20200629,20201129
1,20200803,1,25815,Palmerston Palmerston Regional Hospital,0,0,0,0,0,0,1,20200629,20201129
